Field,Transect,Trans sample,Replicate 2004,Replicate 2008,JohnGr 2004,JohnGr 2008,Tree 2004,Tree 2008,Bare 2004,T/acs 2008,A/acs 2008,LiBl 2004,LiBl 2008,BiBl 2004,BiBl 2008,Ind 2004,Ind 2008,Swit 2004,Swit 2008,EaGa 2004,EaGa 2008,Any 5 2004,Any 5 2008,2004 # of big five per sample point
CM2,3,3,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,4,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,5,27,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,6,28,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,7,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,8,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,9,31,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,10,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,3,11,33,,0,nd,0,nd,0,nd,nd,0,nd,0,0,0,nd,0,nd,0,nd,0,nd,0
CM2,4,1,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,4,2,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,4,3,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,4,4,37,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,4,5,38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,4,6,39,,0,ws,0,ws,0,ws,ws,0,ws,0,ws,0,ws,0,ws,0,ws,0,ws,0
CM2,4,7,,,nd,ws,nd,ws,nd,ws,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd
CM2,4,8,,,nd,ws,nd,ws,nd,ws,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd
CM2,4,9,,,nd,ws,nd,ws,nd,ws,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd,ws,nd
CM2,4,10,,,nd,0,nd,0,nd,0,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd
CM2,4,11,40,,0,nd,0,nd,0,nd,nd,0,nd,0,0,0,nd,0,nd,0,nd,0,nd,0
CM2,5,1,41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,2,42,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,3,43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,4,44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,5,45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,6,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,7,47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM2,5,8,48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
